Date, Price 
20-Jul-99,6432.41
21-Jul-99,6396.09
22-Jul-99,6426.20
23-Jul-99,6476.86
26-Jul-99,6435.28
27-Jul-99,6449.62
28-Jul-99,6474.00
29-Jul-99,6462.05
30-Jul-99,6474.47
31-Jul-99,6474.47
2-Aug-99,6458.22
3-Aug-99,6530.87
4-Aug-99,6634.11
5-Aug-99,6629.81
6-Aug-99,6600.66
10-Aug-99,6543.30
11-Aug-99,6555.73
12-Aug-99,6690.51
13-Aug-99,6687.65
16-Aug-99,6654.19
17-Aug-99,6606.39
18-Aug-99,6624.55
19-Aug-99,6553.34
20-Aug-99,6540.91
23-Aug-99,6537.09
24-Aug-99,6485.95
25-Aug-99,6493.11
26-Aug-99,6426.68
27-Aug-99,6420.94
30-Aug-99,6419.99
31-Aug-99,6340.65
1-Sep-99,6367.41
2-Sep-99,6330.13
3-Sep-99,6317.70
6-Sep-99,6333.00
7-Sep-99,6335.39
8-Sep-99,6288.07
9-Sep-99,6240.75
10-Sep-99,6213.99
13-Sep-99,6163.32
14-Sep-99,6242.18
15-Sep-99,6267.99
16-Sep-99,6181.48
17-Sep-99,6149.94
20-Sep-99,6139.42
21-Sep-99,6090.19
22-Sep-99,6088.76
23-Sep-99,6105.01
27-Sep-99,6258.91
28-Sep-99,6386.05
29-Sep-99,6378.88
30-Sep-99,6358.81
1-Oct-99,6422.85
4-Oct-99,6593.49
5-Oct-99,6678.09
6-Oct-99,6692.43
7-Oct-99,6855.89
8-Oct-99,6893.17
11-Oct-99,6914.20
12-Oct-99,6860.19
